t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
9.400000000000000369e-03,9.866812094409409539e-01,-7.381771418202677862e-03,-2.350955906834653608e-01,5.387477617324939322e-04,-4.978012631013523093e-18,4.309982093859951457e-03,-3.982410104810818474e-17
2.505000000000000004e-01,9.533065008784021854e-01,-3.798214585505917118e-02,4.432061794708507918e+00,-4.775241862073734828e-03,-3.361026734705063745e-18,-3.820193489658987862e-02,-2.688821387764050996e-17
5.062999999999999723e-01,9.151013328788134560e-01,-1.287900580860288080e-01,9.077387016234393258e+00,-1.101125763300955102e-02,-1.962405932198763026e-17,-8.809006106407640813e-02,-1.569924745759010420e-16
7.553999999999999604e-01,9.150682084037820019e-01,-3.196080706605433641e-01,1.309272396273007644e+01,-1.915552413131551765e-02,-2.016616040823038247e-17,-1.532441930505241412e-01,-1.613292832658430598e-16
1.006000000000000005e+00,8.099251933422035865e-01,-2.855425479597721306e-01,1.299833387722236822e+01,-3.179734976385500955e-02,-7.047314121155778821e-17,-2.543787981108400764e-01,-5.637851296924623057e-16
1.250699999999999923e+00,6.743154599891183487e-01,-2.287205006463686185e-01,8.361269951848356641e+00,-5.086335813721171162e-02,-3.794707603699265519e-17,-4.069068650976936929e-01,-3.035766082959412415e-16
1.504000000000000004e+00,5.575231145598064098e-01,-1.680202161909642722e-01,2.165987542852743086e-02,-7.088442568505926022e-02,-2.970713952610282149e-17,-5.670754054804740818e-01,-2.376571162088225719e-16
1.750699999999999923e+00,4.694908668687535203e-01,-1.191983487806525521e-01,-1.038144975907090739e+01,-8.268345134058428803e-02,-7.806255641895631925e-17,-6.614676107246743042e-01,-6.245004513516505540e-16
2.004199999999999982e+00,3.989566458076134192e-01,-7.918101128715081261e-02,-2.248221611319394242e+01,-8.316805307347609200e-02,-1.006139616066548115e-16,-6.653444245878087360e-01,-8.049116928532384918e-16
2.251100000000000101e+00,3.465380674720551224e-01,-4.862888132436163358e-02,-3.498569297101968090e+01,-6.965676870788421737e-02,-1.769417945496343236e-16,-5.572541496630737390e-01,-1.415534356397074589e-15
2.505399999999999849e+00,3.055387341232503329e-01,-2.445399154543571527e-02,-4.811360532562736125e+01,-4.041112516177871455e-02,-2.172741153660950886e-16,-3.232890012942297164e-01,-1.738192922928760709e-15
2.753699999999999815e+00,2.749038568616215539e-01,-7.065893417943738819e-03,-6.084105213330563089e+01,2.612118286235101672e-03,1.279358563532895232e-16,2.089694628988081337e-02,1.023486850826316186e-15
3.002400000000000180e+00,2.508731229072020952e-01,5.585668766498289549e-03,-7.333612267998779544e+01,5.825562073893276321e-02,4.505944228849756428e-16,4.660449659114621057e-01,3.604755383079805142e-15
3.251199999999999868e+00,2.317662739868044386e-01,1.452538311012509763e-02,-8.549580919888894925e+01,1.237423769870767409e-01,1.075528555105620399e-16,9.899390158966139275e-01,8.604228440844963188e-16
3.500399999999999956e+00,2.163735034341178753e-01,2.058831878873440893e-02,-9.726890298505372812e+01,1.958621553629529832e-01,-7.710845850716907535e-16,1.566897242903623866e+00,-6.168676680573526028e-15
3.756800000000000139e+00,2.034055492144374033e-01,2.439600052992318274e-02,-1.089424919864720493e+02,2.736670439428595669e-01,-1.086370576830475443e-15,2.189336351542876535e+00,-8.690964614643803543e-15
4.006800000000000139e+00,1.928190965471223983e-01,2.634520550600454730e-02,-1.198916938972511446e+02,3.501090971381809469e-01,3.378373969464831816e-16,2.800872777105447575e+00,2.702699175571865453e-15
4.250300000000000189e+00,1.840290138664666952e-01,2.705553207665404095e-02,-1.301673099488425862e+02,4.228732841584125213e-01,2.331902032581822937e-15,3.382986273267300170e+00,1.865521626065458349e-14
4.501299999999999635e+00,1.762494265022710449e-01,2.693141092396688502e-02,-1.403800107933680010e+02,4.943968735305000473e-01,1.926410420072244278e-15,3.955174988244000378e+00,1.541128336057795423e-14
4.752900000000000347e+00,1.695459226212486237e-01,2.622639576363661879e-02,-1.502600577784317863e+02,5.614161030724063028e-01,-2.433817036795460353e-15,4.491328824579250423e+00,-1.947053629436368283e-14
5.004999999999999893e+00,1.637687341991544698e-01,2.517356072762366032e-02,-1.598364508437610141e+02,6.233030491772273418e-01,-5.773159728050814010e-15,4.986424393417818735e+00,-4.618527782440651208e-14
5.250600000000000378e+00,1.589320338254994469e-01,2.398085374447987000e-02,-1.688747075049646469e+02,6.783463404406699926e-01,-1.818423883692688037e-15,5.426770723525359941e+00,-1.454739106954150429e-14
5.503800000000000026e+00,1.546666173806122702e-01,2.270787831443233165e-02,-1.779005424427222124e+02,7.297915117430856524e-01,7.699136467254064087e-15,5.838332093944685219e+00,6.159309173803251269e-14
5.750300000000000189e+00,1.511337084178968060e-01,2.150480911162062567e-02,-1.864214367373755294e+02,7.750906849384791020e-01,1.050158224269459595e-14,6.200725479507832816e+00,8.401265794155676758e-14
6.004400000000000404e+00,1.480533377880969836e-01,2.035305512427750679e-02,-1.949437292822647123e+02,8.172995157781626219e-01,-2.447911665037771911e-15,6.538396126225300975e+00,-1.958329332030217529e-14
6.251800000000000246e+00,1.455269036051847209e-01,1.934510916644160278e-02,-2.030202132142568132e+02,8.545963095019120104e-01,-1.936493500276359470e-14,6.836770476015296083e+00,-1.549194800221087576e-13
6.506599999999999717e+00,1.433432640200898445e-01,1.843448332448320917e-02,-2.111378608036694118e+02,8.896769824929647852e-01,-1.544839017993127062e-14,7.117415859943718281e+00,-1.235871214394501649e-13
6.754500000000000171e+00,1.415644296961732773e-01,1.767087740713887967e-02,-2.188640688734257367e+02,9.211203619013753618e-01,1.606044941135365001e-14,7.368962895211002895e+00,1.284835952908292001e-13
7.002799999999999692e+00,1.400720071003886402e-01,1.701837603935317522e-02,-2.264416704048122710e+02,9.504177028314291231e-01,4.032137037451866135e-14,7.603341622651432985e+00,3.225709629961492908e-13
7.251199999999999868e+00,1.388179942711956216e-01,1.646660667915632315e-02,-2.338864366714713583e+02,9.779880384482138034e-01,1.430192769769078609e-14,7.823904307585710427e+00,1.144154215815262887e-13
7.506800000000000139e+00,1.377346596071042928e-01,1.599362311057560618e-02,-2.414232294718108562e+02,1.004920133955757189e+00,-5.035533622022025924e-14,8.039361071646057511e+00,-4.028426897617620739e-13
7.755499999999999616e+00,1.368474791164437654e-01,1.561219442798757878e-02,-2.486497866157754402e+02,1.030020942739701795e+00,-6.884033273979461853e-14,8.240167541917614358e+00,-5.507226619183569483e-13
8.004300000000000637e+00,1.360932231851610663e-01,1.529669791098959425e-02,-2.557908738580862291e+02,1.054296705098461739e+00,1.037494742894828903e-14,8.434373640787693915e+00,8.299957943158631224e-14
8.253199999999999648e+00,1.354477432210953181e-01,1.503850115362685355e-02,-2.628583933207497694e+02,1.077937807265581860e+00,1.151088772910480174e-13,8.623502458124654879e+00,9.208710183283841388e-13
8.502100000000000435e+00,1.348922097474650472e-01,1.482841658571111380e-02,-2.698629150003629888e+02,1.101092397431448822e+00,9.554119648202963333e-14,8.808739179451590573e+00,7.643295718562370666e-13
8.751099999999999213e+00,1.344100959526491890e-01,1.465703474520138605e-02,-2.768139040917508851e+02,1.123874594356359946e+00,-8.196481687816614681e-14,8.990996754850879569e+00,-6.557185350253291745e-13
9.000199999999999534e+00,1.339874287165279676e-01,1.451808928229143814e-02,-2.837197149859689489e+02,1.146370339789114068e+00,-2.230273257741721693e-13,9.170962718312912543e+00,-1.784218606193377354e-12
9.256399999999999295e+00,1.336036878609888900e-01,1.440367117816020170e-02,-2.907833328956158994e+02,1.169276168640597691e+00,-8.297442594118464854e-14,9.354209349124781525e+00,-6.637954075294771883e-13
9.505599999999999383e+00,1.332717282781543111e-01,1.431507189296995358e-02,-2.976187658945515295e+02,1.191366535305780294e+00,2.575491903078486189e-13,9.530932282446242354e+00,2.060393522462788951e-12
9.754699999999999704e+00,1.329735111934796654e-01,1.424441296547005430e-02,-3.044281929596258465e+02,1.213314330677312203e+00,3.730800390844279946e-13,9.706514645418497622e+00,2.984640312675423957e-12
1.000389999999999979e+01,1.327036293567301628e-01,1.418819546426833972e-02,-3.112163455777741774e+02,1.235144030426029715e+00,-2.724903636064368584e-14,9.881152243408237723e+00,-2.179922908851494867e-13
1.025319999999999965e+01,1.324577972783355650e-01,1.414361765375795124e-02,-3.179872934268867652e+02,1.256873020902345983e+00,-5.856764725975516228e-13,1.005498416721876787e+01,-4.685411780780412982e-12
1.050239999999999974e+01,1.322326213618833235e-01,1.410839326941362021e-02,-3.247445175485256073e+02,1.278513598240698101e+00,-5.217744639129939799e-13,1.022810878592558481e+01,-4.174195711303951839e-12
1.075159999999999982e+01,1.320254003112099062e-01,1.408064138559895172e-02,-3.314909725136292877e+02,1.300074624175887816e+00,3.760524877605142535e-13,1.040059699340710253e+01,3.008419902084114028e-12
1.100089999999999968e+01,1.318339739030289226e-01,1.405882083116971777e-02,-3.382291361189163581e+02,1.321562685707116103e+00,1.142634598050307204e-12,1.057250148565692882e+01,9.141076784402457633e-12
1.125019999999999953e+01,1.316566064376641920e-01,1.404167706769027593e-02,-3.449610551395330162e+02,1.342982853306132984e+00,5.356930177224938916e-13,1.074386282644906387e+01,4.285544141779951133e-12
1.150660000000000061e+01,1.314873615439133558e-01,1.402785509541506527e-02,-3.518805446620563089e+02,1.364948466448522968e+00,-1.239952585052606082e-12,1.091958773158818374e+01,-9.919620680420848657e-12
1.175590000000000046e+01,1.313344695744029234e-01,1.401728907900662985e-02,-3.586045292994351712e+02,1.386242691452141962e+00,-1.932027454687457180e-12,1.108994153161713569e+01,-1.545621963749965744e-11
1.200520000000000032e+01,1.311921088691950510e-01,1.400889866224779012e-02,-3.653262796195859892e+02,1.407479556101069340e+00,-6.187758638809270906e-15,1.125983644880855472e+01,-4.950206911047416725e-14
1.225450000000000017e+01,1.310594823533428877e-01,1.400216935202884191e-02,-3.720465440975024194e+02,1.428661788411811351e+00,2.878452684540455664e-12,1.142929430729449081e+01,2.302762147632364531e-11
1.250389999999999979e+01,1.309359056869766058e-01,1.399669669800168541e-02,-3.787658576944019160e+02,1.449791969082412812e+00,2.778006991110970603e-12,1.159833575265930250e+01,2.222405592888776482e-11
1.275319999999999965e+01,1.308207795026381515e-01,1.399216602103161081e-02,-3.854845813683717779e+02,1.470872594856680537e+00,-1.622360232267361368e-12,1.176698075885344430e+01,-1.297888185813889095e-11
1.300249999999999950e+01,1.307135683807976456e-01,1.398833536265466949e-02,-3.922029382155727717e+02,1.491906114607176814e+00,-5.708773731516458838e-12,1.193524891685741451e+01,-4.567018985213167070e-11
1.325189999999999912e+01,1.306137851991173437e-01,1.398502118419346976e-02,-3.989210459094893508e+02,1.512894946866524704e+00,-3.081266145010808089e-12,1.210315957493219763e+01,-2.465012916008646471e-11
1.350120000000000076e+01,1.305209797353138468e-01,1.398208643022185241e-02,-4.056389450314254077e+02,1.533841484968259117e+00,5.545224002201365465e-12,1.227073187974607293e+01,4.436179201761092372e-11
1.375060000000000038e+01,1.304347305852129324e-01,1.397943062352616575e-02,-4.123566229295474841e+02,1.554748094215149257e+00,9.938846620705099610e-12,1.243798475372119405e+01,7.951077296564079688e-11
1.400709999999999944e+01,1.303524379783852771e-01,1.397691422885622217e-02,-4.192659544558619018e+02,1.576212832040341683e+00,8.959655933837851194e-13,1.260970265632273346e+01,7.167724747070280955e-12
1.425639999999999930e+01,1.302782863045159334e-01,1.397462574606481676e-02,-4.259830205714159206e+02,1.597045550853387397e+00,-1.387786760509435169e-11,1.277636440682709917e+01,-1.110229408407548135e-10
1.450580000000000069e+01,1.302095438617129064e-01,1.397245977515442286e-02,-4.326996777416853206e+02,1.617845244473643085e+00,-1.472363723997727192e-11,1.294276195578914468e+01,-1.177890979198181753e-10
1.475520000000000032e+01,1.301458703342188439e-01,1.397039971856296921e-02,-4.394158526629084349e+02,1.638614070970217718e+00,6.482359787840508147e-12,1.310891256776174174e+01,5.185887830272406518e-11
1.500459999999999994e+01,1.300869509195215212e-01,1.396842355971597213e-02,-4.461314772473920129e+02,1.659354111798605258e+00,2.820283243054610978e-11,1.327483289438884206e+01,2.256226594443688782e-10
1.525389999999999979e+01,1.300324596172760805e-01,1.396650403818624694e-02,-4.528464922368215184e+02,1.680067362560077049e+00,1.755993787877496715e-11,1.344053890048061639e+01,1.404795030301997372e-10
1.550329999999999941e+01,1.299820816658282530e-01,1.396465714341252676e-02,-4.595608500963058987e+02,1.700755717371522868e+00,-2.508278654222984017e-11,1.360604573897218295e+01,-2.006622923378387213e-10
1.575270000000000081e+01,1.299355348176861602e-01,1.396289688074342332e-02,-4.662745150914487908e+02,1.721420966786714857e+00,-5.039113917804094456e-11,1.377136773429371885e+01,-4.031291134243275565e-10
1.600209999999999866e+01,1.298925517498522864e-01,1.396122102566565125e-02,-4.729874625900375804e+02,1.742064816747932232e+00,-1.128641971548383083e-11,1.393651853398345786e+01,-9.029135772387064662e-11
1.625150000000000006e+01,1.298528761465101433e-01,1.395962467325248361e-02,-4.796996784814335797e+02,1.762688890530694774e+00,6.418796744123156373e-11,1.410151112424555819e+01,5.135037395298525098e-10
1.650090000000000146e+01,1.298162657763402561e-01,1.395810639691860873e-02,-4.864111583959507357e+02,1.783294712226089596e+00,7.882046057505753822e-11,1.426635769780871676e+01,6.305636846004603058e-10
1.675029999999999930e+01,1.297824936909044158e-01,1.395666672537198942e-02,-4.931219066129388011e+02,1.803883698092401344e+00,-1.949454486727120184e-11,1.443106958473921075e+01,-1.559563589381696147e-10
1.700679999999999836e+01,1.297504942486193413e-01,1.395526835318640704e-02,-5.000236394875291808e+02,1.825044758336698880e+00,-1.380743713808030293e-10,1.460035806669359104e+01,-1.104594971046424234e-09
1.725619999999999976e+01,1.297218420482903201e-01,1.395398861567310675e-02,-5.067329457414272724e+02,1.845603523893566633e+00,-9.858734661971624291e-11,1.476482819114853307e+01,-7.886987729577299433e-10
1.750560000000000116e+01,1.296954267156643636e-01,1.395278645113549529e-02,-5.134415732644636137e+02,1.866149143761148599e+00,1.104354212244640365e-10,1.492919315008918879e+01,8.834833697957122922e-10
1.775499999999999901e+01,1.296710760059958945e-01,1.395166013137058222e-02,-5.201495486878345673e+02,1.886682660442529302e+00,2.536018790799676736e-10,1.509346128354023442e+01,2.028815032639741389e-09
1.800440000000000040e+01,1.296486299899518302e-01,1.395060747143401364e-02,-5.268569013573626307e+02,1.907205037058309793e+00,8.059093670187422731e-11,1.525764029646647835e+01,6.447274936149938185e-10
1.825379999999999825e+01,1.296279404200704199e-01,1.394962602236328279e-02,-5.335636624538477690e+02,1.927717162058529166e+00,-2.998855885838480617e-10,1.542173729646823332e+01,-2.399084708670784494e-09
1.850319999999999965e+01,1.296088699387681342e-01,1.394871310145830677e-02,-5.402698642721717306e+02,1.948219854043385713e+00,-4.099289900583169555e-10,1.558575883234708570e+01,-3.279431920466535644e-09
1.875260000000000105e+01,1.295912913222981300e-01,1.394786562427819537e-02,-5.469755396094827802e+02,1.968713866536497825e+00,5.043275866367658011e-11,1.574971093229198260e+01,4.034620693094126409e-10
1.900199999999999889e+01,1.295750869587525000e-01,1.394708002734123750e-02,-5.536807212269176262e+02,1.989199892634916811e+00,6.593641015129048100e-10,1.591359914107933449e+01,5.274912812103238480e-09
1.925140000000000029e+01,1.295601485167094391e-01,1.394635256328629822e-02,-5.603854413864369235e+02,2.009678569491311961e+00,5.623393868614545710e-10,1.607742855593049569e+01,4.498715094891636568e-09
1.950080000000000169e+01,1.295463764340808177e-01,1.394567979869959680e-02,-5.670897314762885344e+02,2.030150482595909356e+00,-4.384271660995420206e-10,1.624120386076727485e+01,-3.507417328796336164e-09
1.975019999999999953e+01,1.295336789772990327e-01,1.394505878356189395e-02,-5.737936217254820122e+02,2.050616169831910085e+00,-1.261476194336363932e-09,1.640492935865528068e+01,-1.009180955469091145e-08
2.000669999999999860e+01,1.295216504361334786e-01,1.394447087007750011e-02,-5.806886649419855075e+02,2.071660615819482576e+00,-5.217624249320707008e-10,1.657328492655586061e+01,-4.174099399456565607e-09
2.025619999999999976e+01,1.295108785960675246e-01,1.394394493500047093e-02,-5.873918311589919767e+02,2.092115148831982907e+00,1.382093911539428177e-09,1.673692119065586326e+01,1.105675129231542542e-08
2.050560000000000116e+01,1.295009436279671300e-01,1.394345978516598090e-02,-5.940946802580912163e+02,2.112564832228486456e+00,2.113530184200129725e-09,1.690051865782789164e+01,1.690824147360103780e-08
2.075499999999999901e+01,1.294917802624581393e-01,1.394301197681464127e-02,-6.007972364141033950e+02,2.133010048137086390e+00,-1.466358978685633474e-11,1.706408038509669112e+01,-1.173087182948506779e-10
2.100440000000000040e+01,1.294833289512201391e-01,1.394259969950983544e-02,-6.074995222522261429e+02,2.153451147726340942e+00,-3.161928406603120578e-09,1.722760918181072753e+01,-2.529542725282496463e-08
2.125379999999999825e+01,1.294755339990262266e-01,1.394222187198319515e-02,-6.142015588576027767e+02,2.173888453796236853e+00,-3.035865728945319475e-09,1.739110763036989482e+01,-2.428692583156255580e-08
2.150319999999999965e+01,1.294683425256408227e-01,1.394187586686756325e-02,-6.209033657798050854e+02,2.194322263156113451e+00,1.773185813458422189e-09,1.755457810524890760e+01,1.418548650766737751e-08
2.175260000000000105e+01,1.294617056113974152e-01,1.394155679820612177e-02,-6.276049610840793775e+02,2.214752848808552610e+00,6.236072165599626516e-09,1.771802279046842088e+01,4.988857732479701212e-08
2.200199999999999889e+01,1.294555804871788673e-01,1.394126012904635219e-02,-6.343063614761811095e+02,2.235180461934010321e+00,3.390153369836612640e-09,1.788144369547208257e+01,2.712122695869290112e-08
2.225140000000000029e+01,1.294499302881020608e-01,1.394098521220674819e-02,-6.410075824461521279e+02,2.255605333714428173e+00,-6.008416139624550567e-09,1.804484266971542539e+01,-4.806732911699640454e-08
2.250080000000000169e+01,1.294447201515178114e-01,1.394073503290112204e-02,-6.477086383364908215e+02,2.276027676997983029e+00,-1.085968562297701112e-08,1.820822141598386423e+01,-8.687748498381608897e-08
2.275029999999999930e+01,1.294399134402445806e-01,1.394051039375597718e-02,-6.544095423075825693e+02,2.296447687802098514e+00,-1.554998015768083164e-09,1.837158150241678811e+01,-1.243998412614466531e-08
2.300679999999999836e+01,1.294353514486475676e-01,1.394029913660801458e-02,-6.613017547802435274e+02,2.317448884175638657e+00,1.502473811684779115e-08,1.853959107340510926e+01,1.201979049347823292e-07
2.325619999999999976e+01,1.294312568987373013e-01,1.394010297326289151e-02,-6.680023862460986948e+02,2.337864703184270088e+00,1.617415627125362576e-08,1.870291762547416070e+01,1.293932501700290061e-07
2.350560000000000116e+01,1.294274788900266482e-01,1.393991373360271846e-02,-6.747028991658146424e+02,2.358278694280927734e+00,-6.731448190522293373e-09,1.886622955424742187e+01,-5.385158552417834699e-08
2.375499999999999901e+01,1.294240017064888504e-01,1.393974196903320119e-02,-6.814033031239018783e+02,2.378690998556958203e+00,-3.059705965327563781e-08,1.902952798845566562e+01,-2.447764772262051025e-07
2.400440000000000040e+01,1.294208005225395697e-01,1.393959909303985403e-02,-6.881036069401197892e+02,2.399101746104709942e+00,-1.956927885016224167e-08,1.919281396883767954e+01,-1.565542308012979333e-07
2.425390000000000157e+01,1.294178393473842115e-01,1.393947831437609280e-02,-6.948038183712055798e+02,2.419511056908504099e+00,2.663677689529464487e-08,1.935608845526803279e+01,2.130942151623571590e-07
2.450329999999999941e+01,1.294150876783109472e-01,1.393935482126229877e-02,-7.015039442006743684e+02,2.439919041675535638e+00,5.490572491800849164e-08,1.951935233340428510e+01,4.392457993440679331e-07
2.475270000000000081e+01,1.294125399673387300e-01,1.393921300491237844e-02,-7.082039908403620529e+02,2.460325802505599402e+00,1.343993925179143289e-08,1.968260642004479521e+01,1.075195140143314632e-07
